bit,mi,count_flips
1,0.0,0
2,0.660673,5
3,0.440096,4
4,0.469565,6
5,0.191346,2
6,0.660673,5
7,0.655926,7
8,0.398303,5
9,0.308911,4
10,0.308911,4
11,0.655926,7
12,0.398303,5
13,0.329303,3
14,0.696342,8
15,0.398303,5
16,0.655926,7
17,0.722858,9
18,0.545517,10
19,0.532382,12
20,0.596635,7
21,0.308911,4
22,0.414332,10
23,0.985228,12
24,0.37468,8
25,0.541459,6
26,0.591673,12
27,0.591673,12
28,0.545517,11
29,0.450279,11
30,0.223856,10
31,0.21072,12
32,0.355041,10
33,0.279442,8
34,0.239026,7
35,0.319094,10
36,0.696342,8
37,0.239026,14
38,0.486226,10
39,0.450279,10
40,0.279442,8
41,0.147904,15
42,0.319094,10
43,0.401197,12
44,0.174773,9
45,0.640755,10
46,0.270011,9
47,0.429502,7
48,0.450279,10
49,0.279442,8
50,0.187909,10
51,0.541812,13
52,0.283147,10
53,0.541812,8
54,0.187909,11
55,0.319094,10
56,0.184204,13
57,0.334264,14
58,0.270011,9
59,0.568329,12
60,0.355041,11
61,0.187909,10
62,0.465449,14
